FECHA_CORTE;ITEM;DENOMINACION;TIPO_DE_LIGA;DISCIPLINA_DEPORTIVA;RESOLUCION_INSCRIPCION_RENADE;FECHA_RESOLUCION;OBSERVACIONES;;;
20230731;31;LIGA DEPORTIVA DISTRITAL DE ATLETISMO-CHIMBOTE;DISTRITAL;ATLETISMO;125-DINADAF-RND-2016;6/04/2016;Resolución N°560-DNCTD-RND-2020, período 12 de noviembre de 2020 al 11 de noviembre de 2024;;;
20230731;32;LIGA  DISTRITAL DEPORTIVA DE ATLETISMO DE COCHABAMBA;DISTRITAL;ATLETISMO;416-DINADAF-RND-2016;2/08/2016;Resolución N°431-DNCTD-RND-2020, periodo 02 de abril de 2020 al 02 de abril de 2024;;;
20230731;33;LIGA DISTRITAL DE ATLETISMO DE PLATERIA;DISTRITAL;ATLETISMO;659-DINADAF-RND-2016;14/10/2016;Resolución N°523-DNCTD-RND-2020, período del 21 de octubre de 2020 al 20 de octubre de 2024;;;
20230731;34;LIGA DISTRITAL DE ATLETISMO DE SICUANI;DISTRITAL;ATLETISMO;666-DINADAF-RND-2016;18/10/2016;Resolución N°481-DNCTD-RND-2020, periodo del 11 de abril de 2020 al 11 de abril de 2024;;;
20230731;35;LIGA DISTRITAL DE ATLETISMO DE LA MOLINA;DISTRITAL;ATLETISMO;832-DINADAF-RND-2016;7/12/2016;;;;
20230731;36;ASOCIACIÓN LIGA DISTRITAL DE ATLETISMO DE CHICLAYO;DISTRITAL;ATLETISMO;914-DINADAF-RND-2017;14/07/2017;periodo de cuatro años ;;;
20230731;37;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE SAN SEBATIÁN;DISTRITAL;ATLETISMO;1086-DINADAF-RND-2017;18/09/2017;Resolución N°0385-DNCTD-RND-2021, período del 19 de febrero de 2021 al 18 de febrero de 2025;;;
20230731;38;LIGA DISTRITAL DE ATLETISMO DE ILAVE-EL COLLAO;DISTRITAL;ATLETISMO;1255-DINADAF-RND-2017;21/11/2017;"Resolución N°0434-2022-IPD-DNCTD/SRND.
periodo del 01 de febrero de 2022 al 31 de diciembre de 2024";;;
20230731;39;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE YANAHUARA;DISTRITAL;ATLETISMO;0155-DINADAF-RND-2018;12/02/2018;periodo de cuatro (4) años;;;
20230731;40;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE TUMBES;DISTRITAL;ATLETISMO;0177-DINADAF-RND-2018;14/02/2018;Resolución N°0190-DNCTD-RND-2021, período 12 de noviembre de 2020 al 11 de noviembre de 2024;;;
20230731;41;LIGA DE ATLETISMO DISTRITAL DE IQUITOS;DISTRITAL;ATLETISMO;0382-DINADAF-RND-2018;7/03/2018;periodo de cuatro (04) años;;;
20230731;42;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE PIURA;DISTRITAL;ATLETISMO;0860-DINADAF-RND-2018;16/05/2018;23 de febrero de 2018 al 23 de febrero de 2022;;;
20230731;43;LIGA DEPORTIVA DISTRITAL DE ATLETISMO ABANCAY-APURÍMAC;DISTRITAL;ATLETISMO;0944-DINADAF-RND-2018;8/06/2018;periodo 16 de marzo de 2018 al 16 de marzo de 2022;;;
20230731;44;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE CAYMA;DISTRITAL;ATLETISMO;1036-DINADAF-RND-2018;21/06/2018;periodo de cuatro (4) años (Desde el 12 de enero de 2018 al 12 de enero de 2022);;;
20230731;45;LIGA DEPORTIVA DISTRITAL DE ATLETISMO CHARACAATO;DISTRITAL;ATLETISMO;1502-DINADAF-RND-2018;18/10/2018;periodo de 04 años;;;
20230731;46;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE WANCHAQ;DISTRITAL;ATLETISMO;1539-DINADAF-RND-2018;8/11/2018;Resolución N°423-DNCTD-RND-2020, periodo 01 de setiembre de 2020 al 31 de agosto de 2024;;;
20230731;47;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE ICA;DISTRITAL;ATLETISMO;1671-DINADAF-RND-2018;10/12/2018;Resolución N°0123-DNCTD-RND-2021, período 14 de diciembre de 2020 al 13 de diciembre de 2024;;;
20230731;48;LIGA DISTRITAL DE ATLETISMO DE CONCEPCIÓN;DISTRITAL;ATLETISMO;1690-DINADAF-RND-2018;19/12/2018;periodo 31 de enero de 2018 al 30 de enero de 2022;;;
20230731;49;LIGA DISTRITAL DE ATLETISMO DE VICTOR LARCO HERRERA;DISTRITAL;ATLETISMO;0324-DNCTD-RND-2019;23/04/2019;"Resolución N°0251-2023-IPD-DNCTD/SRND.
periodo 2023 - 2027";;;
20230731;50;LIGA DISTRITAL DE ATLETISMO DE LINCE;DISTRITAL;ATLETISMO;0377-DNCTD-RND-2019;8/05/2019;"Resolución N°0559-2022-IPD-DNCTD/SRND.
periodo del 23 de mayo de 2022 al 31 de diciembre de 2024.";;;
20230731;51;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DEL CUSCO;DISTRITAL;ATLETISMO;0526-DNCTD-RND-2019;1/07/2019;Resolución N°424-DNCTD-RND-2020, periodo 21 de octubre de 2020 al 20 de octubre de 2024;;;
20230731;52;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE SALAVAERRY;DISTRITAL;ATLETISMO;0527-DNCTD-RND-2019;1/07/2019;periodo de cuatro (04) años (Concluirá su mandato el 31 de diciembre de 2020, solo para completar el Ciclo Olímpico);;;
20230731;53;LIGA DISTRITAL DE ATLETISMO DE URUBAMBA;DISTRITAL;ATLETISMO;0091-DNCTD-RND-2020;22/01/2020;Resolución N°0250-DNCTD-RND-2021, período del 01 de enero de 2021 al 31 de diciembre de 2024;;;
20230731;54;LIGA DISTRITAL DE ATLETISMO DE LA VICTORIA;DISTRITAL;ATLETISMO;248-DNCTD-RND-2020;7/09/2020;"Resolución N°0579-2022-IPD-DNCTD/SRND.
periodo correspondiente del 01 de enero de 2022 al 31 de diciembre de 2024.";;;
20230731;55;LIGA DISTRITAL DE ATLETISMO DE AYAVIRI-MELGAR;DISTRITAL;ATLETISMO;275-DNCTD-RND-2020;18/09/2020;periodo 06 de diciembre de 2018 al 05 de diciembre de 2022;;;
20230731;56;LIGA DISTRITAL DE ATLETISMO DE AYACUCHO;DISTRITAL;ATLETISMO;421-DNCTD-RND-2020;18/11/2020;periodo de cuatro (4) años;;;
20230731;57;LIGA DISTRITAL DE ATLETISMO DE PUEBLO LIBRE;DISTRITAL;ATLETISMO;0186-DNCTD-RND-2021;15/03/2021;periodo 15 de octubre de 2020 al 14 de octubre de 2024;;;
20230731;58;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE SAN JUAN DE LURIGANCHO;DISTRITAL;ATLETISMO;0626-2022-IPD-DNCTD/SRND;6/10/2022;periodo del 01 de enero de 2021 al 31 de diciembre de 2024;;;
20230731;59;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE CERRO COLORADO;DISTRITAL;ATLETISMO;0360-2023-IPD-DNCTD/SRND;25/07/2023;periodo 17 de marzo de 2022 al 31 de diciembre de 2024;;;
20230731;60;LIGA DISTRITAL MIXTA DE BASKETBALL DE PUNO;DISTRITAL;BASKETBALL;341-DNCTD-RND-2009;24/08/2009;;;;
20230731;61;LIGA DISTRITAL MIXTA DE BASKETBALL DE CALLERÍA-UCAYALI;DISTRITAL;BASKETBALL;391-DNCTD-RND-2009;28/09/2009;;;;
20230731;62;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE EL TAMBO;DISTRITAL;BASKETBALL;013-DINADAF-RND-2014;15/01/2014;;;;
